14/10/23 05:15:54 0000 s 01884ver01 44.882510 8.859902 00 00
14/10/23 05:29:13 0000 s 01884ver01 44.882558 8.859838 00 00
14/10/23 05:48:38 0001 1                  44.971282 8.882355 00 00 300ED89F33500086844FC3AB            
14/10/23 07:47:17 0226 1                  44.985248 8.880578 00 00 323030323545303030363231            
14/10/23 07:47:55 0227 1                  44.985483 8.880705 00 00 323030323545303033313439            
14/10/23 07:47:57 0228 1                  44.985490 8.880715 00 00 323030323545303033313631            
14/10/23 07:48:26 0229 1                  44.985748 8.880865 00 00 323030323545303033313830            
14/10/23 07:48:31 0230 1                  44.985772 8.880858 00 00 323030323545303033313837            
14/10/23 07:48:33 0231 1                  44.985778 8.880858 00 00 323030323545303033313836            
14/10/23 07:49:07 0232 1                  44.985980 8.880880 00 00 3232303032334D3030363033            
14/10/23 07:49:44 0233 1                  44.986248 8.881043 00 00 323030323545303033313639            
14/10/23 07:50:12 0234 1                  44.986045 8.880960 00 00 323030323545303033313738            
14/10/23 07:50:21 0235 1                  44.986037 8.880953 00 00 323030323545303032323631            
14/10/23 07:50:56 0236 1                  44.985857 8.880850 00 00 323030323545303033313534            
14/10/23 07:51:01 0237 1                  44.985842 8.880847 00 00 323030323545303033313637            
14/10/23 08:33:09 0000 s 01884ver01 44.982255 8.875120 00 00
14/10/23 08:34:34 0238 1                  44.983905 8.879288 00 00 323030323545303032323434            
14/10/23 08:36:18 0239 1                  44.983852 8.883162 00 00 323030323545303036313131            
14/10/23 08:37:08 0240 1                  44.983810 8.882943 00 00 323030323545303036343637            
14/10/23 08:37:23 0241 1                  44.983692 8.882862 00 00 323030323545303036333935            
14/10/23 08:38:02 0242 1                  44.983728 8.882665 00 00 323030323545303032373739            
14/10/23 08:38:33 0243 1                  44.983762 8.882068 00 00 323030323545303033313930            
14/10/23 08:38:49 0244 1                  44.983860 8.881960 00 00 323030323545303032353933            
14/10/23 08:39:21 0245 1                  44.984080 8.881777 00 00 323030323545303033313434            
14/10/23 08:39:39 0246 1                  44.983990 8.881718 00 00 323030323545303033303137            
14/10/23 08:40:16 0247 1                  44.984012 8.881560 00 00 323030323545303032333035            
14/10/23 08:40:25 0248 1                  44.984152 8.881622 00 00 323030323545303033313731            
14/10/23 08:40:41 0249 1                  44.984213 8.881607 00 00 323030323545303033313533            
14/10/23 08:41:42 0250 1                  44.984060 8.881322 00 00 323030323545303032333030            
14/10/23 08:42:18 0251 1                  44.984007 8.881065 00 00 323030323545303037383139            
14/10/23 08:42:22 0252 1                  44.983992 8.881062 00 00 323030323545303037373935            
14/10/23 08:42:54 0253 1                  44.984070 8.880737 00 00 323030323545303032323933            
14/10/23 08:43:54 0254 1                  44.982568 8.880113 00 00 323030323545303036323030            
14/10/23 08:44:31 0255 1                  44.982305 8.879627 00 00 000000000000000008357577            
14/10/23 08:47:45 0256 1                  44.981898 8.852475 00 00 111320000000000130136095            
14/10/23 08:48:52 0257 1                  44.977828 8.850715 00 00 323030323545303032393537            
14/10/23 08:51:26 0258 1                  44.974043 8.852242 00 00 323030323545303037303835            
14/10/23 08:51:33 0259 1                  44.974043 8.852242 00 00 323030323545303037313137            
14/10/23 08:55:55 0260 1                  44.969848 8.839018 00 00 323030323545303039303232            
14/10/23 08:56:37 0261 1                  44.969943 8.838712 00 00 323030323545303037373439            
14/10/23 08:59:11 0262 1                  44.976540 8.841265 00 00 323030323545303037303837            
14/10/23 08:59:46 0263 1                  44.976503 8.840580 00 00 323030323545303038393739            
