30/01/25 04:47:59 0000 s 02535ver01 44.753475 8.812293 pp 01
30/01/25 04:48:04 0001 7                  44.753475 8.812293 pp 01 
30/01/25 12:56:07 0264 1                  44.761070 8.801058 pp 01 313932343050303030343235            
30/01/25 12:56:07 0265 1                  44.761070 8.801058 pp 01 313932343050303030343234            
30/01/25 12:56:07 0266 1                  44.761070 8.801058 pp 01 303AC8E9C00E9499D8B638FF            
30/01/25 12:56:21 0267 1                  44.761068 8.801040 pp 01 303ACB0342CD99A0AD25D259            
30/01/25 12:59:13 0268 1                  44.761192 8.801945 pp 01 313931323050303031383738            
30/01/25 12:59:13 0269 1                  44.761192 8.801945 pp 01 313931323050303031383735            
30/01/25 13:00:14 0270 1                  44.761195 8.802023 pp 01 313931323050303031383736            
30/01/25 13:00:14 0271 1                  44.761195 8.802023 pp 01 313931323050303133363735            
30/01/25 13:00:48 0272 1                  44.761193 8.802015 pp 01 303480241C001B574878277C            
30/01/25 13:01:10 0273 1                  44.761180 8.802007 pp 01 313931323050303133323937            
30/01/25 13:03:50 0274 1                  44.761362 8.802305 pp 01 303ACB034277F8E0ABDD41EB            
30/01/25 13:04:14 0275 1                  44.761370 8.802288 pp 01 313931323050303038333030            
30/01/25 13:04:14 0276 1                  44.761370 8.802288 pp 01 303ACB0342A2FDDAC6891DE7            
30/01/25 13:04:16 0277 1                  44.761368 8.802287 pp 01 08381D10FE547C0001268892            
30/01/25 13:06:14 0278 1                  44.761303 8.802665 pp 01 313931323050303031393230            
30/01/25 13:06:14 0279 1                  44.761303 8.802665 pp 01 313931323050303430393535            
30/01/25 13:09:20 0280 1                  44.761560 8.802847 pp 01 313931323050303030393536            
30/01/25 13:09:22 0281 1                  44.761562 8.802847 pp 01 313931323050303130373339            
30/01/25 13:12:06 0282 1                  44.760620 8.799240 pp 01 313931323050303031373032            
30/01/25 13:14:02 0283 1                  44.760385 8.799245 pp 01 313931323050303032333036            
30/01/25 13:15:41 0284 1                  44.760080 8.799247 pp 01 313931323050303036363231            
30/01/25 13:19:28 0285 1                  44.759250 8.799125 pp 01 313931323050303030313037            
30/01/25 13:19:28 0286 1                  44.759250 8.799125 pp 01 313931323050303030313038            
30/01/25 13:21:33 0287 1                  44.759547 8.798938 pp 01 313931323050303031393037            
30/01/25 13:21:35 0288 1                  44.759548 8.798940 pp 01 313931323050303031363234            
30/01/25 13:22:36 0289 1                  44.759550 8.798957 pp 01 313932343050303030323231            
30/01/25 13:24:17 0290 1                  44.759830 8.798998 pp 01 313931323050303032333131            
