18/06/25 07:08:42 0149 1                  44.753003 8.812292 cc 01 355ab1c8e005211007195e85            
18/06/25 07:08:47 0150 1                  44.752998 8.812287 cc 01 303ac8e9c086d2dc9c048fcd            
18/06/25 07:08:56 0151 1                  44.752992 8.812275 cc 01 303ac8e9c02a5320b39f5438            
18/06/25 07:08:57 0152 1                  44.752990 8.812273 cc 01 303ac8e9c078c45c9f1f3aea            
18/06/25 07:08:59 0153 1                  44.752990 8.812273 cc 01 303ac8e9c0490e5c9bb4049e            
18/06/25 07:09:04 0154 1                  44.752990 8.812272 cc 01 303ac8e9c078f71c9b776b75            
18/06/25 07:09:56 0155 1                  44.753022 8.812278 cc 01 30340bf8e80d4481a6a14005            
18/06/25 07:10:32 0156 1                  44.753030 8.812300 cc 01 3034f8490416f5c2ee0003a6            
18/06/25 07:10:34 0157 1                  44.753030 8.812302 cc 01 303549a91436f38cce416fa1            
18/06/25 07:10:40 0158 1                  44.753028 8.812307 cc 01 30340be62c5e20c77f4fb804            
18/06/25 07:48:56 0000 s 02543ver01 44.775977 8.789772 cc 01
18/06/25 07:56:35 0160 1                  44.768392 8.785758 cc 01 313931323043303130353833            
18/06/25 07:56:43 0161 1                  44.768395 8.785757 cc 01 3231303032334d3033353332            
18/06/25 07:56:45 0162 1                  44.768397 8.785757 cc 01 3231303032334d3033353334            
18/06/25 07:57:16 0163 1                  44.768398 8.785767 cc 01 313931323043303130353831            
18/06/25 07:58:11 0164 1                  44.768285 8.785743 cc 01 313931323043303130353833            
18/06/25 07:58:15 0165 1                  44.768283 8.785745 cc 01 31383132304a303135313639            
18/06/25 07:58:52 0166 1                  44.768248 8.785780 cc 01 313931323043303130353830            
18/06/25 07:59:38 0167 1                  44.768185 8.785670 cc 01 313931323043303130353834            
18/06/25 07:59:47 0168 1                  44.768187 8.785672 cc 01 3234303032334d3031373138            
18/06/25 08:03:53 0169 1                  44.768770 8.785013 cc 01 313931323043303036343733            
18/06/25 08:05:12 0170 1                  44.768363 8.784893 cc 01 3231303032334d3032343435            
18/06/25 08:05:23 0171 1                  44.768360 8.784890 cc 01 3231303234304a3030323137            
18/06/25 08:05:35 0172 1                  44.768347 8.784892 cc 01 313931323043303039333535            
18/06/25 08:05:43 0173 1                  44.768338 8.784895 cc 01 30340bf63845589bf08eb2c2            
18/06/25 08:05:46 0174 1                  44.768332 8.784898 cc 01 303acb0342f786dac688c718            
18/06/25 08:11:17 0175 1                  44.765450 8.794680 cc 01 31383032334d303035303535            
18/06/25 08:12:20 0176 1                  44.765642 8.794648 cc 01 313931323043303039353538            
18/06/25 08:12:27 0177 1                  44.765645 8.794622 cc 01 323030323545303035363431            
18/06/25 08:17:03 0178 1                  44.763157 8.788268 cc 01 313931323043303039323539            
18/06/25 08:17:25 0179 1                  44.763120 8.788277 cc 01 3234303032334d3031323636            
18/06/25 08:18:30 0180 1                  44.763035 8.788228 cc 01 313931323043303132353532            
18/06/25 08:18:32 0181 1                  44.763033 8.788228 cc 01 628622373189188688758452            
18/06/25 08:18:37 0182 1                  44.763030 8.788225 cc 01 313931323043303039323539            
18/06/25 08:18:40 0183 1                  44.763033 8.788220 cc 01 303aaf814331a040b2d05e97            
18/06/25 08:18:53 0184 1                  44.763037 8.788177 cc 01 3139313230433031323535b2            
18/06/25 08:18:56 0185 1                  44.763035 8.788172 cc 01 3234303132304a3030383032            
18/06/25 08:19:53 0186 1                  44.762922 8.788035 cc 01 3231303234304a3034383133            
18/06/25 08:20:01 0187 1                  44.762918 8.788040 cc 01 3231303234304a3034383132            
18/06/25 08:21:31 0188 1                  44.763105 8.787535 cc 01 3234303032334d3032303734            
18/06/25 08:21:44 0189 1                  44.763113 8.787465 cc 01 3233303132304a3030343533            
18/06/25 08:21:51 0190 1                  44.763117 8.787458 cc 01 303ac8e9c0d938a0b607f382            
18/06/25 08:21:52 0191 1                  44.763118 8.787457 cc 01 313931323043303130303732            
18/06/25 08:22:05 0192 1                  44.763128 8.787475 cc 01 303ac8e9c081ecd9d8b63f0f            
18/06/25 08:22:08 0193 1                  44.763130 8.787473 cc 01 3232303032334d3030393235            
18/06/25 08:22:09 0194 1                  44.763132 8.787473 cc 01 303acb0341e2085c7acbb63d            
18/06/25 08:23:04 0195 1                  44.763022 8.787287 cc 01 3231303234304a3034373939            
18/06/25 08:23:14 0196 1                  44.762997 8.787302 cc 01 303ac8e9c0ab285ac688d821            
18/06/25 08:24:05 0197 1                  44.762990 8.787338 cc 01 3231313130304a3032323537            
18/06/25 08:25:36 0198 1                  44.763052 8.787405 cc 01 3234303132304a3032373239            
18/06/25 08:25:37 0199 1                  44.763055 8.787400 cc 01 303ac8e9c0d2a8dca5da249f            
18/06/25 08:25:54 0200 1                  44.763065 8.787320 cc 01 313931323043303039343135            
18/06/25 08:26:49 0201 1                  44.763088 8.787257 cc 01 303acb0341e208dc7acbcd24            
18/06/25 08:26:56 0202 1                  44.763090 8.787252 cc 01 303ac8e9c0d874a0b5d69f9d            
18/06/25 08:42:42 0203 1                  44.762280 8.789648 cc 01 30340c05a44f39154bfa7806            
18/06/25 08:42:59 0204 1                  44.762282 8.789690 cc 01 30396120c0532b00000002a8            
18/06/25 08:43:07 0205 1                  44.762280 8.789702 cc 01 303ac8e9c0ab285ac688d821            
18/06/25 08:43:12 0206 1                  44.762282 8.789715 cc 01 303436395c175e6c00b50004            
18/06/25 08:43:27 0207 1                  44.762290 8.789748 cc 01 3034f7d57c3d0c8ab41e2a42            
18/06/25 08:43:30 0208 1                  44.762290 8.789748 cc 01 3231313130304a3032303233            
18/06/25 08:43:35 0209 1                  44.762288 8.789753 cc 01 30396120c03ed3c00000299e            
18/06/25 08:46:00 0210 1                  44.762337 8.788937 cc 01 3039606203c287025025d253            
18/06/25 08:46:02 0211 1                  44.762337 8.788937 cc 01 3039606203c287025025d4fa            
18/06/25 08:46:14 0212 1                  44.762347 8.788925 cc 01 303acb0342ad41d9d8b6674b            
18/06/25 08:46:43 0213 1                  44.762350 8.788942 cc 01 3231313130304a3032313835            
18/06/25 08:46:54 0214 1                  44.762350 8.788927 cc 01 3231313130304a3031393830            
18/06/25 08:59:00 0215 1                  44.792467 8.786177 cc 01 3139313130304a3031303339            
18/06/25 08:59:16 0216 1                  44.792477 8.786177 cc 01 303acb03424a4799d8bb463b            
18/06/25 08:59:24 0217 1                  44.792483 8.786168 cc 01 355ab1c8e0061a9000c59ee0            
18/06/25 08:59:41 0218 1                  44.792500 8.786140 cc 01 3139313130304a3031313632            
18/06/25 09:00:20 0219 1                  44.792508 8.786162 cc 01 3138313130304a3030303637            
18/06/25 09:24:19 0220 1                  44.794643 8.777902 cc 01 30396061c3c5b940ca42c191            
18/06/25 09:24:23 0221 1                  44.794638 8.777897 cc 01 3139313130304a3031313037            
18/06/25 09:24:27 0222 1                  44.794638 8.777895 cc 01 30396061c3c5b940ca42c19b            
18/06/25 09:24:45 0223 1                  44.794640 8.777903 cc 01 3139313130304a3031303436            
18/06/25 09:43:25 0224 1                  44.764878 8.785620 cc 01 30340bf4781a8becfae4c406            
18/06/25 09:43:27 0225 1                  44.764878 8.785622 cc 01 30340bf4781a8bcc0964bc06            
18/06/25 09:43:48 0226 1                  44.764878 8.785622 cc 01 3231313130304a3032303637            
18/06/25 09:45:14 0227 1                  44.764888 8.785647 cc 01 3231313130304a3032303935            
18/06/25 09:45:29 0228 1                  44.764887 8.785642 cc 01 3039606303bd9c80001a32d4            
18/06/25 09:45:46 0229 1                  44.764877 8.785628 cc 01 303acb03420deedc77ed5af6            
18/06/25 10:09:48 0230 1                  44.787862 8.746755 cc 01 3034f836fc4fe60ab4237354            
18/06/25 10:09:53 0232 1                  44.787868 8.746743 cc 01 680b4a381851431d81e3aa36            
18/06/25 10:09:55 0233 1                  44.787865 8.746738 cc 01 30396061c3c5b940ca42c191            
18/06/25 10:09:56 0234 1                  44.787865 8.746738 cc 01 303ac8e9c0d938a0b607f382            
18/06/25 10:09:58 0235 1                  44.787863 8.746738 cc 01 30340bf4781a8bcc0964bc06            
18/06/25 10:09:59 0236 1                  44.787863 8.746738 cc 01 303acb03424a4799d8bb463b            
18/06/25 10:10:01 0237 1                  44.787863 8.746742 cc 01 303ac8e9c081ecd9d8b63f0f            
18/06/25 11:26:44 0000 s 02543ver01 44.753232 8.812340 cc 01
18/06/25 11:42:19 0239 1                  44.755810 8.804333 vv 01 323032343056303030313734            
18/06/25 11:44:12 0240 1                  44.754988 8.804793 vv 01 3234303234304a3030393638            
18/06/25 11:50:22 0241 1                  44.757822 8.805250 vv 01 323032343056303030363732            
18/06/25 11:52:26 0242 1                  44.757793 8.805547 vv 01 3233703234304a3031313635            
18/06/25 11:55:31 0243 1                  44.758593 8.804912 vv 01 323032343056303030313731            
18/06/25 11:56:07 0244 1                  44.758588 8.804905 vv 01 313931323053303035313830            
18/06/25 12:02:32 0245 1                  44.760513 8.804555 vv 01 323032343056303030313631            
18/06/25 12:02:44 0246 1                  44.760522 8.804560 vv 01 323032343056303030353838            
18/06/25 12:03:37 0247 1                  44.760533 8.804583 vv 01 313931323050303036343830            
18/06/25 12:06:40 0248 1                  44.759097 8.802478 vv 01 323032343056303030343430            
18/06/25 12:18:00 0249 1                  44.757507 8.805397 vv 01 323032343056303031353430            
18/06/25 12:18:20 0250 1                  44.757518 8.805405 vv 01 323032343056303030313636            
18/06/25 12:28:17 0251 1                  44.756698 8.802018 vv 01 3231303234304a3030383339            
18/06/25 12:31:16 0252 1                  44.756538 8.801480 vv 01 323032343056303031383333            
18/06/25 12:38:33 0253 1                  44.758167 8.800540 vv 01 323030323545303033343535            
18/06/25 12:40:05 0254 1                  44.757563 8.801780 vv 01 3231303234304a3030353335            
18/06/25 12:40:16 0255 1                  44.757560 8.801773 vv 01 313931323043303036323633            
18/06/25 12:46:34 0256 1                  44.758067 8.802007 vv 01 323032343056303030363633            
18/06/25 12:49:54 0257 1                  44.758727 8.802247 vv 01 323032343056303030363631            
18/06/25 12:50:57 0258 1                  44.758618 8.802300 vv 01 323032343056303030363632            
18/06/25 12:53:21 0259 1                  44.759297 8.799770 vv 01 323032343056303030333234            
18/06/25 12:55:48 0260 1                  44.759655 8.799550 vv 01 323032343056303030333235            
18/06/25 13:00:54 0261 1                  44.760920 8.799812 vv 01 323032343056303030333830            
18/06/25 13:02:11 0262 1                  44.761030 8.799673 vv 01 323032343056303030303038            
18/06/25 13:09:23 0263 1                  44.760043 8.799532 vv 01 3231303234304a3030383837            
18/06/25 13:09:27 0264 1                  44.760040 8.799528 vv 01 3232303234304a3030373438            
18/06/25 13:11:30 0265 1                  44.759513 8.798888 vv 01 323032343056303032303735            
18/06/25 13:26:41 0266 1                  44.760102 8.797827 vv 01 323032343056303030333137            
18/06/25 13:26:50 0267 1                  44.760082 8.797852 vv 01 323032343056303030323036            
18/06/25 13:28:20 0268 1                  44.759715 8.797995 vv 01 323032343056303030363533            
18/06/25 13:30:22 0269 1                  44.759380 8.798172 vv 01 323032343056303030313737            
18/06/25 13:30:36 0270 1                  44.759375 8.798190 vv 01 323032343056303030313739            
18/06/25 13:32:03 0271 1                  44.759338 8.798250 vv 01 323032343056303030313738            
18/06/25 13:40:53 0272 1                  44.760425 8.794240 vv 01 3234303234304a3030313039            
18/06/25 13:42:30 0273 1                  44.760438 8.794400 vv 01 323032343056303032303134            
18/06/25 13:44:11 0274 1                  44.760470 8.794838 vv 01 323032343056303030353839            
18/06/25 13:46:16 0275 1                  44.760457 8.795243 vv 01 323032343056303030353933            
18/06/25 13:46:35 0276 1                  44.760440 8.795258 vv 01 323032343056303030383431            
18/06/25 13:48:28 0277 1                  44.760473 8.795620 vv 01 323032343056303030323633            
18/06/25 13:49:43 0278 1                  44.760477 8.795955 vv 01 323032343056303030353935            
18/06/25 13:54:10 0279 1                  44.760648 8.797260 vv 01 323032343056303030343239            
18/06/25 13:54:27 0280 1                  44.760643 8.797272 vv 01 323032343056303030343237            
18/06/25 13:56:12 0281 1                  44.760715 8.797257 vv 01 323032343056303030343331            
18/06/25 14:01:00 0282 1                  44.759365 8.791802 vv 01 323032343056303030343537            
18/06/25 14:11:55 0283 1                  44.756627 8.793118 vv 01 323032343056303030313136            
18/06/25 14:16:19 0284 1                  44.756460 8.793802 vv 01 323032343056303030313138            
18/06/25 14:17:39 0285 1                  44.756483 8.793665 vv 01 3232303234304a3030363434            
18/06/25 14:27:33 0286 1                  44.757290 8.794878 vv 01 323032343056303030353337            
18/06/25 14:27:55 0287 1                  44.757283 8.794867 vv 01 323032343056303030353336            
18/06/25 14:31:44 0288 1                  44.758275 8.794658 vv 01 323032343056303030333933            
18/06/25 14:34:21 0289 1                  44.757010 8.796357 vv 01 31383032334d303135393337            
18/06/25 14:34:37 0290 1                  44.757013 8.796347 vv 01 323032343056303030353436            
18/06/25 14:35:06 0291 1                  44.757012 8.796345 vv 01 373030313030383630323836            
18/06/25 14:35:53 0292 1                  44.756588 8.796355 vv 01 323032343056303030363132            
18/06/25 14:39:05 0293 1                  44.756490 8.795845 vv 01 323032343056303030353830            
18/06/25 14:42:00 0294 1                  44.756405 8.795645 vv 01 323032343056303030353333            
18/06/25 14:42:06 0295 1                  44.756395 8.795640 vv 01 323032343056303030363337            
18/06/25 14:44:29 0296 1                  44.756233 8.797645 vv 01 323032343056303030343033            
18/06/25 15:30:55 0297 1                  44.761233 8.801882 vv 01 313931323043303033363039            
