08/08/25 04:59:38 0000 s 02027ver01 44.752995 8.812312 xx 01
08/08/25 14:40:17 0206 1                  44.762941 8.804410 uu 01 31383032334d303135383439            
08/08/25 14:40:42 0207 1                  44.762941 8.804410 uu 01 31383032334d303135383436            
08/08/25 14:41:38 0208 1                  44.763475 8.804718 uu 01 323030323545303036303331            
08/08/25 14:41:42 0209 1                  44.763475 8.804718 uu 01 31383032334d303135383435            
08/08/25 14:42:28 0210 1                  44.763475 8.804718 uu 01 3231303032334d3030343635            
08/08/25 14:42:38 0211 1                  44.763475 8.804718 uu 01 323030323545303034393637            
08/08/25 14:42:43 0212 1                  44.763475 8.804718 uu 01 3233303032334d3030333439            
08/08/25 14:44:15 0213 1                  44.762895 8.805418 uu 01 31383032334d303135383937            
08/08/25 14:44:18 0214 1                  44.762895 8.805418 uu 01 31383032334d303135383938            
08/08/25 14:45:16 0215 1                  44.762895 8.805418 uu 01 31383032334d303135363136            
08/08/25 14:46:10 0216 1                  44.762516 8.805805 uu 01 323030323545303036373238            
08/08/25 14:46:45 0217 1                  44.762516 8.805805 uu 01 31383032334d303135373139            
08/08/25 14:46:58 0218 1                  44.762516 8.805805 uu 01 31383032334d303034383033            
08/08/25 14:47:57 0219 1                  44.766266 8.804315 uu 01 31383032334d303135383930            
08/08/25 14:48:32 0220 1                  44.765223 8.804211 uu 01 31383032334d303135393034            
08/08/25 14:48:41 0221 1                  44.765223 8.804211 uu 01 31383032334d303034393634            
08/08/25 14:49:16 0222 1                  44.765088 8.804016 uu 01 31383032334d303135393032            
08/08/25 14:49:49 0223 1                  44.765200 8.803963 uu 01 31383032334d303135393033            
08/08/25 14:50:55 0224 1                  44.765506 8.805351 uu 01 31383032334d303135373137            
08/08/25 14:50:58 0225 1                  44.765506 8.805351 uu 01 323030323545303034393433            
08/08/25 14:51:26 0226 1                  44.765506 8.805351 uu 01 323030323545303034393530            
08/08/25 14:51:36 0227 1                  44.765506 8.805351 uu 01 3233303032334d3030393237            
08/08/25 14:51:52 0228 1                  44.765386 8.805651 uu 01 323030323545303035303138            
08/08/25 14:51:57 0229 1                  44.765386 8.805651 uu 01 3233303032334d3030383432            
08/08/25 14:52:00 0230 1                  44.765386 8.805651 uu 01 323030323545303035303132            
08/08/25 14:52:18 0231 1                  44.765351 8.805845 uu 01 323030323545303035303130            
08/08/25 14:52:49 0232 1                  44.765373 8.805755 uu 01 3232303032334d3030353432            
08/08/25 14:53:05 0233 1                  44.765373 8.805755 uu 01 323030323545303035313039            
08/08/25 14:53:39 0234 1                  44.765545 8.805976 uu 01 31383032334d303032313337            
08/08/25 14:53:44 0235 1                  44.765520 8.805986 uu 01 323030323545303035313131            
08/08/25 14:54:17 0236 1                  44.765498 8.805945 uu 01 323030323545303034393438            
08/08/25 14:54:25 0237 1                  44.765498 8.805945 uu 01 323030323545303034393432            
08/08/25 14:55:30 0238 1                  44.765603 8.804931 uu 01 31383032334d303135383934            
08/08/25 14:56:17 0239 1                  44.765660 8.804610 uu 01 31383032334d303135383637            
08/08/25 14:56:48 0240 1                  44.765526 8.804240 uu 01 31383032334d303135393137            
08/08/25 14:56:58 0241 1                  44.765526 8.804240 uu 01 31383032334d303135393031            
08/08/25 14:57:02 0242 1                  44.765528 8.804203 uu 01 31383032334d303135393038            
08/08/25 15:01:39 0243 1                  44.765773 8.805065 uu 01 31383032334d303135383638            
08/08/25 15:02:09 0244 1                  44.765773 8.805065 uu 01 31383032334d303135383134            
08/08/25 15:02:24 0245 1                  44.765773 8.805065 uu 01 323030323545303033303234            
08/08/25 15:03:53 0246 1                  44.765773 8.805065 uu 01 323030323545303030383133            
08/08/25 15:03:56 0247 1                  44.765773 8.805065 uu 01 323030323545303030383239            
08/08/25 15:04:18 0248 1                  44.765773 8.805065 uu 01 323030323545303030383238            
08/08/25 15:04:32 0249 1                  44.765773 8.805065 uu 01 323030323545303035303337            
08/08/25 15:04:41 0250 1                  44.765773 8.805065 uu 01 323030323545303032363636            
08/08/25 15:06:19 0251 1                  44.767116 8.803666 uu 01 3231303032334d3033313938            
08/08/25 15:06:49 0252 1                  44.767116 8.803666 uu 01 3231303132304a3035333331            
08/08/25 15:06:56 0253 1                  44.767116 8.803666 uu 01 3231303132304a3035333433            
08/08/25 15:09:58 0254 1                  44.767461 8.802860 uu 01 323030323545303030363739            
08/08/25 15:10:40 0255 1                  44.767445 8.802908 uu 01 323030323545303032303034            
08/08/25 15:10:51 0256 1                  44.767445 8.802908 uu 01 323030323545303032313230            
08/08/25 15:11:39 0257 1                  44.767506 8.803090 uu 01 3234303032334d3031343933            
08/08/25 15:12:08 0258 1                  44.766906 8.802901 uu 01 323030323545303030373231            
08/08/25 15:12:10 0259 1                  44.766906 8.802901 uu 01 323030323545303030373137            
08/08/25 15:12:31 0260 1                  44.766906 8.802901 uu 01 323030323545303030373232            
08/08/25 15:12:39 0261 1                  44.766906 8.802901 uu 01 3235303032334d3030383132            
08/08/25 15:12:48 0262 1                  44.766906 8.802901 uu 01 323030323545303030373134            
08/08/25 15:13:28 0263 1                  44.766906 8.802901 uu 01 323030323545303030373233            
08/08/25 15:13:34 0264 1                  44.766906 8.802901 uu 01 3234303032334d3032303733            
08/08/25 15:14:07 0265 1                  44.766906 8.802901 uu 01 31383032334d303034383533            
08/08/25 15:14:10 0266 1                  44.766906 8.802901 uu 01 3231303032334d3034303133            
08/08/25 15:14:32 0267 1                  44.766995 8.802575 uu 01 3231303032334d3034303338            
08/08/25 15:14:33 0268 1                  44.766995 8.802575 uu 01 3231303032334d3034303335            
08/08/25 15:15:29 0269 1                  44.766728 8.802098 uu 01 323030323545303030393038            
08/08/25 15:16:08 0270 1                  44.766486 8.802280 uu 01 323030323545303031303136            
08/08/25 15:16:23 0271 1                  44.766486 8.802280 uu 01 323030323545303030363438            
08/08/25 15:16:43 0272 1                  44.766486 8.802280 uu 01 323030323545303030393132            
08/08/25 15:16:51 0273 1                  44.766486 8.802280 uu 01 323030323545303030393130            
08/08/25 15:17:21 0274 1                  44.766486 8.802280 uu 01 3231303032334d3033343636            
08/08/25 15:17:29 0275 1                  44.766486 8.802280 uu 01 3231303032334d3033343637            
08/08/25 15:17:30 0276 1                  44.766486 8.802280 uu 01 3231303032334d3033343635            
08/08/25 15:18:27 0277 1                  44.767058 8.802005 uu 01 3232303032334d3031363032            
08/08/25 15:19:24 0278 1                  44.767223 8.801766 uu 01 323030323545303030393733            
08/08/25 15:19:26 0279 1                  44.767223 8.801766 uu 01 323030323545303031393932            
08/08/25 15:20:08 0280 1                  44.767223 8.801766 uu 01 3231303032334d3034383036            
