04/11/25 14:40:32 0182 1                  44.978758 8.961782 00 00 313931323050303038383738            
04/11/25 14:43:02 0183 1                  44.978743 8.962850 00 00 31383132304A303237343235            
04/11/25 14:50:08 0184 1                  44.963665 8.937427 00 00 31383132304A303236363637            
04/11/25 14:51:21 0185 1                  44.963373 8.937997 00 00 31383132304A303236363639            
04/11/25 14:52:42 0186 1                  44.962885 8.937653 00 00 31383132304A303236313131            
04/11/25 14:53:50 0187 1                  44.962743 8.937532 00 00 31383132304A303236343430            
04/11/25 14:54:55 0188 1                  44.962588 8.937380 00 00 31383132304A303235353535            
04/11/25 14:55:25 0189 1                  44.962597 8.937365 00 00 31383132304A303236333431            
04/11/25 14:56:51 0190 1                  44.962383 8.937208 00 00 31383132304A303235393032            
04/11/25 14:57:14 0191 1                  44.962387 8.937195 00 00 31383132304A303235353532            
04/11/25 15:01:13 0192 1                  44.963238 8.937015 00 00 31383132304A303235393036            
04/11/25 15:01:38 0193 1                  44.963228 8.937017 00 00 31383132304A303237303436            
04/11/25 15:01:52 0194 1                  44.963227 8.937017 00 00 313931323050303035363832            
04/11/25 15:02:20 0195 1                  44.963230 8.937012 00 00 31383132304A303235393130            
04/11/25 15:03:02 0196 1                  44.963238 8.937007 00 00 31383132304A303237303433            
04/11/25 15:03:26 0197 1                  44.963227 8.937012 00 00 31383132304A303235393037            
04/11/25 15:04:46 0198 1                  44.963145 8.937327 00 00 31383132304A303237303432            
04/11/25 15:05:14 0199 1                  44.963143 8.937330 00 00 31383132304A303235393031            
04/11/25 15:05:30 0200 1                  44.963145 8.937327 00 00 31383132304A303138393934            
04/11/25 15:05:48 0201 1                  44.963147 8.937322 00 00 3235303132304A3030393938            
04/11/25 15:07:13 0202 1                  44.962955 8.937933 00 00 31383132304A303235383331            
04/11/25 15:08:14 0203 1                  44.962887 8.938147 00 00 31383132304A303236343336            
04/11/25 15:10:51 0204 1                  44.963382 8.939065 00 00 313931313030503030303730            
04/11/25 15:12:53 0205 1                  44.963402 8.939082 00 00 3139313130304A3032303635            
04/11/25 15:13:36 0206 1                  44.963410 8.939070 00 00 3139313130304A3032303634            
04/11/25 15:14:24 0207 1                  44.963397 8.939057 00 00 313931313038503030303639            
04/11/25 15:18:04 0208 1                  44.961940 8.937310 00 00 3139313130304A3032313031            
04/11/25 15:20:23 0209 1                  44.961330 8.938437 00 00 31383132304A303237313435            
04/11/25 15:20:39 0210 1                  44.961337 8.938447 00 00 31383132304A303237313530            
04/11/25 15:22:17 0211 1                  44.961198 8.938897 00 00 31383132304A303236373139            
04/11/25 15:22:36 0212 1                  44.961198 8.938898 00 00 31383132304A303236313734            
04/11/25 15:24:40 0213 1                  44.961102 8.939180 00 00 31383132304A303235333939            
04/11/25 15:25:33 0214 1                  44.961080 8.939202 00 00 31383132304A303232343636            
04/11/25 15:26:21 0215 1                  44.961078 8.939212 00 00 31383132304A303237303739            
04/11/25 15:27:03 0216 1                  44.961080 8.939205 00 00 31383132304A303237303830            
04/11/25 15:27:37 0217 1                  44.961082 8.939188 00 00 31383132304A303235393833            
04/11/25 15:29:28 0218 1                  44.961015 8.939508 00 00 31383132304A303236363134            
04/11/25 15:29:55 0219 1                  44.961017 8.939493 00 00 3139313130304A3032303230            
04/11/25 15:30:52 0220 1                  44.961010 8.939503 00 00 31383132304A303236303438            
04/11/25 15:30:53 0221 1                  44.961008 8.939505 00 00 31383132304A303236303438            
04/11/25 15:31:09 0222 1                  44.961003 8.939512 00 00 31383132304A303236303533            
04/11/25 15:31:35 0223 1                  44.961000 8.939518 00 00 31383132304A303237313532            
04/11/25 15:33:07 0224 1                  44.960868 8.939927 00 00 31383132304A303235383931            
04/11/25 15:33:40 0225 1                  44.960892 8.939942 00 00 313931323050303035363737            
04/11/25 15:33:58 0226 1                  44.960898 8.939947 00 00 3234303132304A3033303238            
04/11/25 15:34:15 0227 1                  44.960897 8.939945 00 00 31383132304A303232333136            
04/11/25 15:35:28 0228 1                  44.960855 8.940045 00 00 31383132304A30323A313439            
04/11/25 15:36:28 0229 1                  44.960857 8.940045 00 00 3139313130304A3032303436            
04/11/25 15:37:50 0230 1                  44.960728 8.940438 00 00 31383132304A303236343331            
04/11/25 15:39:59 0231 1                  44.960682 8.940367 00 00 3234303132304A3032323535            
04/11/25 15:41:01 0232 1                  44.960547 8.940315 00 00 31383132304A303235323432            
04/11/25 15:42:20 0233 1                  44.960347 8.940173 00 00 31383132304A303235353530            
04/11/25 15:42:36 0234 1                  44.960348 8.940178 00 00 31383132304A303235313332            
04/11/25 15:42:57 0235 1                  44.960360 8.940187 00 00 31383132304A303236353732            
04/11/25 15:45:39 0236 1                  44.961542 8.938985 00 00 303ACB034110C59C7BFD79CD            
04/11/25 15:45:39 0237 1                  44.961542 8.938985 00 00 31383132304A303237313336            
04/11/25 15:46:33 0238 1                  44.961600 8.938975 00 00 31383132304A303237313335            
04/11/25 15:46:50 0239 1                  44.961607 8.938972 00 00 3234354132304A3033313333            
04/11/25 15:47:05 0240 1                  44.961608 8.938968 00 00 31383132304A303235393832            
04/11/25 15:47:25 0241 1                  44.961607 8.938960 00 00 31383132304A303237313531            
04/11/25 15:49:04 0242 1                  44.962030 8.939292 00 00 31383132304A303235383239            
04/11/25 15:49:19 0243 1                  44.962023 8.939302 00 00 31383132304A303235383234            
04/11/25 15:49:36 0244 1                  44.962020 8.939312 00 00 31383132304A303234373638            
04/11/25 15:50:15 0245 1                  44.962022 8.939327 00 00 313932343045303030363830            
04/11/25 15:51:49 0246 1                  44.962138 8.938413 00 00 313931323050303032373233            
04/11/25 15:59:51 0000 s 01887ver01 44.959670 8.935222 00 00
04/11/25 16:15:12 0000 s 01887ver01 44.959597 8.935213 00 00
04/11/25 16:21:30 0247 1                  44.944158 8.914962 00 00 313931323050303035393430            
04/11/25 17:07:59 0000 s 01887ver01 44.882360 8.860343 00 00
